university_match,year,publication_count
Chiang Mai University,2014,1
Chiang Mai University,2015,2
Chiang Mai University,2016,6
Chiang Mai University,2017,5
Chiang Mai University,2018,4
Chiang Mai University,2019,7
Chiang Mai University,2020,13
Chiang Mai University,2021,15
Chiang Mai University,2022,12
Chiang Mai University,2023,26
Chiang Mai University,2024,23
Chulalongkorn University,2014,288
Chulalongkorn University,2015,418
Chulalongkorn University,2016,522
Chulalongkorn University,2017,597
Chulalongkorn University,2018,889
Chulalongkorn University,2019,1120
Chulalongkorn University,2020,1492
Chulalongkorn University,2021,1766
Chulalongkorn University,2022,2005
Chulalongkorn University,2023,2311
Chulalongkorn University,2024,3302
Khon Kaen University,2014,19
Khon Kaen University,2015,11
Khon Kaen University,2016,11
Khon Kaen University,2017,20
Khon Kaen University,2018,37
Khon Kaen University,2019,33
Khon Kaen University,2020,56
Khon Kaen University,2021,58
Khon Kaen University,2022,41
Khon Kaen University,2023,42
Khon Kaen University,2024,67
Mahidol University,2016,2
Mahidol University,2017,2
Mahidol University,2018,6
Mahidol University,2019,12
Mahidol University,2020,10
Mahidol University,2021,17
Mahidol University,2022,19
Mahidol University,2023,11
Mahidol University,2024,16
Prince of Songkla University,2016,1
Prince of Songkla University,2017,2
Prince of Songkla University,2018,5
Prince of Songkla University,2019,6
Prince of Songkla University,2020,11
Prince of Songkla University,2021,8
Prince of Songkla University,2022,17
Prince of Songkla University,2023,18
Prince of Songkla University,2024,31
